name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Akwasi Baffoe,"DM, M (C)",,-,ENG,NONE,7,17/05/2007,5889,193,16,Banbury,,ENG,UK & Ireland,ENG,GHA,"5'11""",5,11,180.34,67,0,0,NO
Randy Bulakio,ST (C),Cambridge,English Football League 1,ENG,ENG3,4,17/05/2007,5889,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Michael Buckmaster,DM,Stevenage,English Football League 1,ENG,ENG3,4,16/05/2007,5890,193,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,75,0,0,YES
Wade Fairweather,D (C),,-,ENG,NONE,7,16/05/2007,5890,193,16,Lincoln,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,NO
Joshua Clark-Anderson,D/WB (R),MK Dons,English Football League 2,ENG,ENG4,5,15/05/2007,5891,193,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Zayn Sadiq,D/WB (L),Port Vale,English Football League 1,ENG,ENG3,4,15/05/2007,5891,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Emmanuel Airoboma,D/M (R),Liverpool,English Premier Division,ENG,ENG1,1,15/05/2007,5891,193,16,London,,ENG,UK & Ireland,ENG,NGA,"6'1""",6,1,185.42,73,0,0,YES
Alex Gooden,M (L),,-,ENG,NONE,7,15/05/2007,5891,193,16,London,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,54,0,0,NO
Jack Crane,"DM, M (C)",Morecambe,English Football League 2,ENG,ENG4,5,15/05/2007,5891,193,16,Kendal,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,NO
Matt Sanders,M (L),,-,ENG,NONE,7,14/05/2007,5892,193,16,Bedfont,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,NO
Haydn Dorney,D (C),,-,ENG,NONE,7,12/05/2007,5894,193,16,Crosby,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,80,0,0,NO
Sam Noone,GK,,-,ENG,NONE,7,12/05/2007,5894,193,16,Birkenhead,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
Kobe Sinclair-Linton,D (C),MK Dons,English Football League 2,ENG,ENG4,5,11/05/2007,5895,193,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,62,0,0,NO
Jordan Laidler,AM (R),,-,ENG,NONE,7,11/05/2007,5895,193,16,Birkenhead,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,NO
Jay Gibson,GK,,-,ENG,NONE,7,11/05/2007,5895,193,16,Warrington,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,62,0,0,NO
Sunday Kelechi,M/AM (R),,-,ENG,NONE,7,11/05/2007,5895,193,16,Smethwick,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,63,0,0,NO
Jackson Shorrocks,"DM, M (C)",Blackburn,English Football League Championship,ENG,ENG2,3,11/05/2007,5895,193,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Josh Welland,GK,Reading,English Football League 1,ENG,ENG3,4,10/05/2007,5896,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Robbie Wilson,M (R),Harrogate,English Football League 2,ENG,ENG4,5,10/05/2007,5896,193,16,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,50,0,0,NO
Leon Osaghae,M (C),Coventry,English Football League Championship,ENG,ENG2,3,10/05/2007,5896,193,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Louie Henry,D (L),Stevenage,English Football League 1,ENG,ENG3,4,10/05/2007,5896,193,16,Stevenage,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,58,0,0,YES
Jayce Fitzgerald,"DM, M (C)",Man UFC,English Premier Division,ENG,ENG1,1,09/05/2007,5897,193,16,Salford,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,YES
Theo Adelusi,D (C),Tottenham,English Premier Division,ENG,ENG1,1,09/05/2007,5897,193,16,Milton Keynes,,ENG,UK & Ireland,ENG,NGA,"5'11""",5,11,180.34,70,0,0,YES
Lathaniel Hopkins,D (L),,-,ENG,NONE,7,07/05/2007,5899,193,16,Spondon,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,58,0,0,NO
Corbin Mthunzi,D (C),Brighton,English Premier Division,ENG,ENG1,1,07/05/2007,5899,193,16,-,,ENG,UK & Ireland,ENG,ZIM,"6'1""",6,1,185.42,71,0,0,YES
Ed Devine,D/WB (L),Hull,English Football League Championship,ENG,ENG2,3,04/05/2007,5902,193,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,YES
Bradley Burgess,"DM, M (C)",Cheltenham,English Football League 1,ENG,ENG3,4,04/05/2007,5902,193,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,YES
Jay Smith,D (R),Huddersfield,English Football League Championship,ENG,ENG2,3,03/05/2007,5903,193,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Joden Trickett,ST (C),Sutton,English Football League 2,ENG,ENG4,5,03/05/2007,5903,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
Kai Source,D (L),Reading,English Football League 1,ENG,ENG3,4,03/05/2007,5903,193,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,62,0,0,YES
Jon Esenga,D (L),Fulham,English Premier Division,ENG,ENG1,1,03/05/2007,5903,193,16,-,,ENG,UK & Ireland,ENG,COD,"5'9""",5,9,175.26,60,0,0,YES
Lorenze Mullinkrey-Matthews,AM (RL),Blackburn,English Football League Championship,ENG,ENG2,3,03/05/2007,5903,193,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,YES
Finley O'Gorman,ST (C),Middlesbrough,English Football League Championship,ENG,ENG2,3,03/05/2007,5903,193,16,Stockton-on-Tees,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,YES
Tommy Dobson-Ventura,D (C),Southampton,English Football League Championship,ENG,ENG2,3,02/05/2007,5904,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Alfie Perry,"D (C), DM",Hull,English Football League Championship,ENG,ENG2,3,02/05/2007,5904,193,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Lewis Boney,D/WB (L),Bradford City,English Football League 2,ENG,ENG4,5,01/05/2007,5905,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,NO
Paul Williams,AM (R),,-,ENG,NONE,7,01/05/2007,5905,194,16,Huddersfield,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,NO
Jasper Briggs,GK,Cambridge,English Football League 1,ENG,ENG3,4,01/05/2007,5905,194,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Owain Gordon,D (C),Rotherham,English Football League Championship,ENG,ENG2,3,30/04/2007,5906,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Rayan Oyebade,D (C),West Ham,English Premier Division,ENG,ENG1,1,30/04/2007,5906,194,16,-,,ENG,UK & Ireland,ENG,NGA,"6'2""",6,2,187.96,83,0,0,YES
Antony McCormick,D (C),Swindon,English Football League 2,ENG,ENG4,5,30/04/2007,5906,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,NO
Graeme Kanu,AM (RC),,-,ENG,NONE,7,29/04/2007,5907,194,16,Sutton,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,58,0,0,NO
Prince Acheampong,D/WB (L),Middlesbrough,English Football League Championship,ENG,ENG2,3,29/04/2007,5907,194,16,London,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,72,0,0,YES
Harry Taylor,D (C),Millwall,English Football League Championship,ENG,ENG2,3,28/04/2007,5908,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Alastair Clifford,"DM, M (C)",Wigan,English Football League 1,ENG,ENG3,4,28/04/2007,5908,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Henry Burt,M (C),Grimsby,English Football League 2,ENG,ENG4,5,28/04/2007,5908,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,NO
Jack Shorrock,D/WB/M/AM (L),Port Vale,English Football League 1,ENG,ENG3,4,28/04/2007,5908,194,16,Stockport,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,60,0,0,YES
Jack Swales,ST (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,27/04/2007,5909,194,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Kornel Miściur,GK,Liverpool,English Premier Division,ENG,ENG1,1,27/04/2007,5909,194,16,Scarborough,,ENG,UK & Ireland,ENG,POL,"5'11""",5,11,180.34,66,0,0,YES
Kane Mavrantziotis-Bove,GK,Stockport,English Football League 2,ENG,ENG4,5,26/04/2007,5910,194,16,-,,ENG,UK & Ireland,ENG,WAL,"6'2""",6,2,187.96,69,0,0,NO
Alfie Foy,M (C),Grimsby,English Football League 2,ENG,ENG4,5,26/04/2007,5910,194,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,NO
Frankie Beckles,GK,Shrewsbury,English Football League 1,ENG,ENG3,4,26/04/2007,5910,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,YES
Jack Greaves,D (C),,-,ENG,NONE,7,26/04/2007,5910,194,16,Lincoln,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,NO
Trevan Sanusi,AM (L),Newcastle,English Premier Division,ENG,ENG1,1,25/04/2007,5911,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,62,0,0,YES
Daniel Williams,D (C),1. FC Köln,Bundesliga,GER,GER1,1,25/04/2007,5911,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Botan Ameen,ST (C),Swindon,English Football League 2,ENG,ENG4,5,24/04/2007,5912,194,16,-,,ENG,UK & Ireland,ENG,IRQ,"6'2""",6,2,187.96,70,0,0,NO
Ernie Weaver,D (L),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,24/04/2007,5912,194,16,Rotherham,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,52,0,0,YES
Sam Farrell,ST (C),,-,ENG,NONE,7,22/04/2007,5914,194,16,Colchester,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,NO
Ben Kindon,D (C),Sunderland,English Football League Championship,ENG,ENG2,3,22/04/2007,5914,194,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,67,0,0,YES
Gabriel Badero,AM (C),Northampton,English Football League 1,ENG,ENG3,4,22/04/2007,5914,194,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,59,0,0,YES
Lleyton Brown,D (C),Leeds,English Football League Championship,ENG,ENG2,3,21/04/2007,5915,194,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Manuel João,D (R),,-,ENG,NONE,7,21/04/2007,5915,194,16,Cambulo,,ANG,Southern Africa,ENG,ANG,"6'1""",6,1,185.42,70,0,0,NO
Danny Tyler-Cowlin,M/AM (C),Cambridge,English Football League 1,ENG,ENG3,4,21/04/2007,5915,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Joe Brayson,ST (C),Newcastle,English Premier Division,ENG,ENG1,1,21/04/2007,5915,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,67,0,0,YES
Henry Brown,M (C),Grimsby,English Football League 2,ENG,ENG4,5,20/04/2007,5916,194,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Cameron Walters,D (C),Cheltenham,English Football League 1,ENG,ENG3,4,20/04/2007,5916,194,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,75,0,0,YES
Luca Fletcher,ST (C),Man City,English Premier Division,ENG,ENG1,1,18/04/2007,5918,194,16,Reading,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Hayden Barrett,"DM, M (RC)",Watford,English Football League Championship,ENG,ENG2,3,18/04/2007,5918,194,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,53,0,0,YES
Ben Jordison,D (L),Burnley,English Premier Division,ENG,ENG1,1,18/04/2007,5918,194,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,79,0,0,YES
Jay Williams,D (C),Bournemouth,English Premier Division,ENG,ENG1,1,18/04/2007,5918,194,16,Lichfield,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,83,0,0,YES
Steve Sanders,M/AM (R),,-,ENG,NONE,7,18/04/2007,5918,194,16,Chadderton,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,NO
Jamie Odegah,ST (C),Luton,English Premier Division,ENG,ENG1,1,17/04/2007,5919,194,16,London,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,77,0,0,YES
Oliver Calland,D (R),Huddersfield,English Football League Championship,ENG,ENG2,3,17/04/2007,5919,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Kash Odiase,ST (C),Watford,English Football League Championship,ENG,ENG2,3,17/04/2007,5919,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,YES
George Barlow,GK,Bolton,English Football League 1,ENG,ENG3,4,17/04/2007,5919,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Sam Straughan-Brown,M (C),Doncaster,English Football League 2,ENG,ENG4,5,16/04/2007,5920,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Lewis Walker,"DM, M (C)",Stoke,English Football League Championship,ENG,ENG2,3,16/04/2007,5920,194,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Simone Troso,M (C),MK Dons,English Football League 2,ENG,ENG4,5,16/04/2007,5920,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,67,0,0,NO
Jack Loughran,AM (C),Shrewsbury,English Football League 1,ENG,ENG3,4,14/04/2007,5922,194,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,YES
Liam Roberts,M/AM (L),Fleetwood,English Football League 1,ENG,ENG3,4,14/04/2007,5922,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,61,0,0,YES
Lennon Scholes,ST (C),Blackpool,English Football League 1,ENG,ENG3,4,14/04/2007,5922,194,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,YES
Frankie Jones,"DM, M (C)",Sheff Utd,English Premier Division,ENG,ENG1,1,14/04/2007,5922,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,YES
Shea Lacey,AM (R),Man UFC,English Premier Division,ENG,ENG1,1,14/04/2007,5922,194,16,Liverpool,,ENG,UK & Ireland,ENG,IRL,"5'6""",5,6,167.64,51,0,0,YES
Harry Clarke,D (R),Forest Green,English Football League 2,ENG,ENG4,5,13/04/2007,5923,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,NO
Abdi Mohamud,AM (RLC),Leyton Orient,English Football League 1,ENG,ENG3,4,13/04/2007,5923,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Brian-Paul Brooks,GK,,-,ENG,NONE,7,12/04/2007,5924,194,16,Lincoln,,ENG,UK & Ireland,ENG,AIA,"5'11""",5,11,180.34,64,0,0,NO
Max Asante-Boakye,D (C),Aston Villa,English Premier Division,ENG,ENG1,1,12/04/2007,5924,194,16,-,,ENG,UK & Ireland,ENG,GHA,"5'11""",5,11,180.34,66,0,0,YES
Zack Henry,ST (C),Crystal Palace,English Premier Division,ENG,ENG1,1,11/04/2007,5925,194,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,YES
Will Perry,M (C),Crewe,English Football League 2,ENG,ENG4,5,10/04/2007,5926,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,60,0,0,NO
Jaiden Campbell-Ryce,AM (R),Doncaster,English Football League 2,ENG,ENG4,5,09/04/2007,5927,194,16,-,,ENG,UK & Ireland,ENG,JAM,"5'7""",5,7,170.18,59,0,0,NO
Jamie Davies,AM (R),,-,ENG,NONE,7,09/04/2007,5927,194,16,Kettering,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,NO
Jayden Keteku,M (C),Portsmouth,English Football League 1,ENG,ENG3,4,09/04/2007,5927,194,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,56,0,0,YES
Luke Gilbert,D (C),Peterborough,English Football League 1,ENG,ENG3,4,08/04/2007,5928,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,72,0,0,YES
Adam Fairclough,AM (RL),Morecambe,English Football League 2,ENG,ENG4,5,08/04/2007,5928,194,16,Lancaster,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,NO
Jake Donohue,GK,Leicester,English Football League Championship,ENG,ENG2,3,08/04/2007,5928,194,16,Coventry,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Abdulhalim Okonola-Matthews,D (C),Southampton,English Football League Championship,ENG,ENG2,3,08/04/2007,5928,194,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Jack Collins,AM (L),Grimsby,English Football League 2,ENG,ENG4,5,07/04/2007,5929,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Zac Prior,GK,Shrewsbury,English Football League 1,ENG,ENG3,4,07/04/2007,5929,194,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,75,0,0,YES
Miles Obodo,ST (C),Swindon,English Football League 2,ENG,ENG4,5,07/04/2007,5929,194,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Lucas Houghton,D/WB (L),Blackburn,English Football League Championship,ENG,ENG2,3,07/04/2007,5929,194,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Dennis Essien,M (L),,-,ENG,NONE,7,06/04/2007,5930,194,16,Cheltenham,,ENG,UK & Ireland,ENG,GHA,"5'11""",5,11,180.34,67,0,0,NO
Ignas Sakalas,GK,Peterborough,English Football League 1,ENG,ENG3,4,06/04/2007,5930,194,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,94,0,0,YES
Grayson Giles,ST (C),Grimsby,English Football League 2,ENG,ENG4,5,06/04/2007,5930,194,16,Hull,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,NO
Ibrahim Fullah,"AM (C), ST (C)",Charlton,English Football League 1,ENG,ENG3,4,05/04/2007,5931,194,16,-,,ENG,UK & Ireland,ENG,SLE,"5'6""",5,6,167.64,54,0,0,YES
Owen Eames,M/AM (C),Derby,English Football League 1,ENG,ENG3,4,05/04/2007,5931,194,16,Swadlincote,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,55,0,0,YES
Charlie Cox,WB (L),Blackpool,English Football League 1,ENG,ENG3,4,05/04/2007,5931,194,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
Harry Leigh,M (C),Bolton,English Football League 1,ENG,ENG3,4,05/04/2007,5931,194,16,Liverpool,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,YES
Rhys Morrish,D (C),West Brom,English Football League Championship,ENG,ENG2,3,04/04/2007,5932,194,16,-,,ENG,UK & Ireland,ENG,WAL,"5'10""",5,10,177.8,71,0,0,YES
Nicolae-Mario Vasiloiu,GK,Lincoln,English Football League 1,ENG,ENG3,4,03/04/2007,5933,194,16,-,,ENG,UK & Ireland,ENG,GRE,"6'4""",6,4,193.04,71,0,0,YES
Elliot Hartmann,D (C),Mansfield,English Football League 2,ENG,ENG4,5,03/04/2007,5933,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,NO
Nathan Willis,"DM, M/AM (C)",Blackburn,English Football League Championship,ENG,ENG2,3,03/04/2007,5933,194,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Jacob Bryant,GK,Doncaster,English Football League 2,ENG,ENG4,5,03/04/2007,5933,194,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Kenzie Dillon,M (C),Doncaster,English Football League 2,ENG,ENG4,5,31/03/2007,5936,195,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,NO
Joseph McCallum,DM,Coventry,English Football League Championship,ENG,ENG2,3,31/03/2007,5936,195,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Reece Wilson,ST (C),Rotherham,English Football League Championship,ENG,ENG2,3,30/03/2007,5937,195,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Amani Bowlin,M/AM (C),Watford,English Football League Championship,ENG,ENG2,3,30/03/2007,5937,195,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Trae Briscoe,D (RC),Birmingham,English Football League Championship,ENG,ENG2,3,29/03/2007,5938,195,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Conrad Brunton,AM (L),,-,ENG,NONE,7,29/03/2007,5938,195,16,Sheffield,,ENG,UK & Ireland,ENG,NIR,"5'8""",5,8,172.72,58,0,0,NO
Brian Hanson,AM (C),,-,ENG,NONE,7,28/03/2007,5939,195,16,Boston,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,NO
Sekou Kaba,ST (C),Man UFC,English Premier Division,ENG,ENG1,1,28/03/2007,5939,195,16,Kankan,,GUI,Western Africa,ENG,GUI,"5'10""",5,10,177.8,61,0,0,YES
Henry Upstell,GK,Southampton,English Football League Championship,ENG,ENG2,3,28/03/2007,5939,195,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Kooshan Hayati,M/AM (C),QPR,English Football League Championship,ENG,ENG2,3,28/03/2007,5939,195,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,54,0,0,YES
Will O'Brien,ST (C),,-,ENG,NONE,7,27/03/2007,5940,195,16,Lincoln,,ENG,UK & Ireland,ENG,IRL,"5'10""",5,10,177.8,71,0,0,NO
Seth Okyere,D/WB (R),Sheff Utd,English Premier Division,ENG,ENG1,1,27/03/2007,5940,195,16,-,,ENG,UK & Ireland,ENG,GHA,"6'2""",6,2,187.96,71,0,0,YES
Dom Weston,D (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,26/03/2007,5941,195,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Ari-Jae Shaw,ST (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,26/03/2007,5941,195,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Joseph Khoshaba,GK,Crystal Palace,English Premier Division,ENG,ENG1,1,25/03/2007,5942,195,16,-,,ENG,UK & Ireland,ENG,IRQ,"6'2""",6,2,187.96,74,0,0,YES
Lewis Wilson,M/AM (RL),Wigan,English Football League 1,ENG,ENG3,4,25/03/2007,5942,195,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,62,0,0,YES
James Knott,D (C),Wigan,English Football League 1,ENG,ENG3,4,25/03/2007,5942,195,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Harrison Leech,GK,Mansfield,English Football League 2,ENG,ENG4,5,25/03/2007,5942,195,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,NO
Sheldon Nugent,AM (R),,-,ENG,NONE,7,24/03/2007,5943,195,16,Huddersfield,,ENG,UK & Ireland,ENG,JAM,"5'7""",5,7,170.18,58,0,0,NO
Adisa Osayande,D (C),Derby,English Football League 1,ENG,ENG3,4,22/03/2007,5945,195,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
George Iorpenda,"DM, M (C)",Ipswich,English Football League Championship,ENG,ENG2,3,21/03/2007,5946,195,16,Brighton,,ENG,UK & Ireland,ENG,NGA,"6'2""",6,2,187.96,74,0,0,YES
Frankie Coulson,AM (L),Middlesbrough,English Football League Championship,ENG,ENG2,3,21/03/2007,5946,195,16,Hartlepool,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
George King,D (C),Crystal Palace,English Premier Division,ENG,ENG1,1,20/03/2007,5947,195,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,60,0,0,YES
Bria Bateman,ST (C),Birmingham,English Football League Championship,ENG,ENG2,3,20/03/2007,5947,195,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,YES
Damari Daley,ST (C),Norwich,English Football League Championship,ENG,ENG2,3,20/03/2007,5947,195,16,London,,ENG,UK & Ireland,ENG,JAM,"5'10""",5,10,177.8,68,0,0,YES
Harvey Vincent,AM (RL),Leeds,English Football League Championship,ENG,ENG2,3,20/03/2007,5947,195,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Reiss Khela,D (C),Leicester,English Football League Championship,ENG,ENG2,3,20/03/2007,5947,195,16,Coventry,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
James Sharlott,GK,Reading,English Football League 1,ENG,ENG3,4,19/03/2007,5948,195,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,72,0,0,YES
Jaye Long,AM (C),Sheff Utd,English Premier Division,ENG,ENG1,1,19/03/2007,5948,195,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,YES
Tyler Fletcher,DM,Man UFC,English Premier Division,ENG,ENG1,1,19/03/2007,5948,195,16,Manchester,,ENG,UK & Ireland,ENG,SCO,"6'0""",6,0,182.88,65,0,0,YES
Jack Fletcher,M (C),Man UFC,English Premier Division,ENG,ENG1,1,19/03/2007,5948,195,16,Manchester,,ENG,UK & Ireland,ENG,SCO,"5'11""",5,11,180.34,61,0,0,YES
Emmerson Sutton,M (C),QPR,English Football League Championship,ENG,ENG2,3,18/03/2007,5949,195,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Ben Wetshi,ST (C),Burnley,English Premier Division,ENG,ENG1,1,18/03/2007,5949,195,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
